title,type,country,release_year,listed_in,duration
Dick Johnson Is Dead,Movie,United States,2020,Documentaries,90 min
Blood & Water,TV Show,South Africa,2021,"International TV Shows, TV Dramas, TV Mysteries",2 Seasons
Ganglands,TV Show,,2021,"Crime TV Shows, International TV Shows, TV Action & Adventure",1 Season
Jailbirds New Orleans,TV Show,,2021,"Docuseries, Reality TV",1 Season
Kota Factory,TV Show,India,2021,"International TV Shows, Romantic TV Shows, TV Comedies",2 Seasons
Midnight Mass,TV Show,,2021,"TV Dramas, TV Horror, TV Mysteries",1 Season
My Little Pony: A New Generation,Movie,,2021,Children & Family Movies,91 min
Sankofa,Movie,"United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia",1993,"Dramas, Independent Movies, International Movies",125 min
The Great British Baking Show,TV Show,United Kingdom,2021,"British TV Shows, Reality TV",9 Seasons
The Starling,Movie,United States,2021,"Comedies, Dramas",104 min
